Название,Жанр,Выберите поджанр:,Какие эмоции важнее?,Временной период:,Рейтинг
Безымянная звезда,Мелодрама,Драма,Романтическая страсть,Новинки (2020–2025),8.141
Мост Ватерлоо,Мелодрама,Исторический,Трагический выбор,Классика (до 2000 года),8.034
Жди меня,Мелодрама,Драма,Трагический выбор,Современное кино (2000–2020),7.729
Машенька,Мелодрама,Драма,Трагический выбор,Классика (до 2000 года),7.502
Сабрина,Мелодрама,Драма,Романтическая страсть,Классика (до 2000 года),7.423
Ла-Ла Ленд,Мелодрама,Драма,Романтическая страсть,Современное кино (2000–2020),8.03
С любовью, Рози,Мелодрама,Драма,Романтическая страсть,Современное кино (2000–2020),7.729
Мулен Руж,Мелодрама,Исторический,Трагический выбор,Современное кино (2000–2020),7.851
