
Безымянная звезда,Мелодрама,Драма,Романтическая страсть,Новинки (2020–2025),6.8
Мост Ватерлоо,Мелодрама,Исторический,Трагический выбор,Классика (до 2000 года),8.2
Жди меня,Мелодрама,Драма,Трагический выбор,Современное кино (2000–2020),7.7
Машенька,Мелодрама,Драма,Трагический выбор,Классика (до 2000 года),7.3
Сабрина,Мелодрама,Драма,Романтическая страсть,Классика (до 2000 года),7.8
Ла-Ла Ленд,Мелодрама,Драма,Романтическая страсть,Современное кино (2000–2020),7.8
С любовью, Рози,Мелодрама,Драма,Романтическая страсть,Современное кино (2000–2020),7.3
Мулен Руж,Мелодрама,Исторический,Трагический выбор,Современное кино (2000–2020),7.7
