
А зори здесь тихие,Военный,Драма,Личные драмы солдат,Классика (до 2000),8.2  
По соображениям совести,Военный,Биографический,Личные драмы солдат,Современное кино (2000–2020),8.1
Долгая дорога домой,Военный,Драма,Личные драмы солдат,Современное кино (2000–2020),7.2
На западном фронте без перемен,Военный,Драма,Личные драмы солдат,Новинки (2020–2025),7.8
Спасти рядового Райана,Военный,Драма,Боевые действия,Классика (до 2000 года),8.2
Офицеры,Военный,Драма,Личные драмы солдат,Классика (до 2000 года),8.4
Ревущие двадцатые или судьба солдата в Америке,Военный,Исторический,Личные драмы солдат,Новинки (2020–2025),7.8
Бесславные ублюдки,Военный,Исторический,Партизанские движения,Современное кино (2000–2020),7.8
